,0,1
2911,салка,0.687
2363,палка,0.678
1799,марка,0.664
2590,порка,0.65
1430,корка,0.65
2385,парта,0.648
1257,карта,0.648
164,балка,0.647
2922,самка,0.646
1768,малка,0.645
3124,солка,0.641
390,валка,0.641
2383,парок,0.64
1225,калла,0.638
1231,камка,0.637
2926,сапка,0.635
1252,карда,0.634
399,варна,0.633
1255,карма,0.633
2898,садка,0.632
1386,колка,0.632
2893,савка,0.631
2930,саржа,0.63
3835,чарка,0.629
1259,каска,0.629
593,галка,0.629
1251,карга,0.627
2374,папка,0.627
940,жарка,0.624
2912,салма,0.623
2990,серка,0.623
1206,кадка,0.623
2389,парша,0.622
1807,матка,0.622
2399,патуа,0.621
2388,парча,0.621
1239,канна,0.62
2369,панна,0.62
3323,татка,0.62
403,ватка,0.618
3148,сотка,0.617
1785,манка,0.614
2433,перка,0.614
1589,латка,0.612
3830,чалка,0.61
2904,сайка,0.61
1222,калба,0.608
2406,пачка,0.607
1271,качка,0.607
1274,кашка,0.605
1576,ланка,0.605
841,дорка,0.605
1776,мамка,0.605
2379,парик,0.605
2723,ранка,0.604
400,варок,0.604
3137,сорок,0.603
689,горка,0.602
1408,конка,0.601
2914,салон,0.601
2351,пайка,0.601
2094,норка,0.6
1890,молка,0.6
1312,кирка,0.599
2671,пурка,0.598
1531,курка,0.598
2022,нарта,0.598
604,ганка,0.598
3992,шорка,0.598
1267,каток,0.598
2015,нанка,0.596
2991,серна,0.596
1802,маска,0.596
144,бабка,0.595
3322,таска,0.595
2718,рамка,0.595
2593,порок,0.594
3317,тапка,0.593
2931,сарос,0.592
3143,соска,0.592
752,дамка,0.592
165,балок,0.591
174,баржа,0.591
3712,хатка,0.59
3130,сопка,0.59
1211,казна,0.589
3020,силка,0.589
1798,маржа,0.589
1581,ларва,0.589
1787,манна,0.588
1586,ласка,0.587
606,гарда,0.586
162,балда,0.586
3114,совка,0.585
391,валок,0.585
2935,сауна,0.585
1577,лапка,0.585
2367,панда,0.585
2344,падла,0.584
395,ванна,0.584
1751,мазка,0.583
943,жатка,0.582
1053,зарок,0.582
2998,сетка,0.581
2586,попка,0.581
1238,канва,0.581
2391,паста,0.581
1831,мерка,0.581
1262,каста,0.581
1419,копка,0.581
3355,терка,0.58
2473,пилка,0.58
3242,сурна,0.58
179,барон,0.58
1558,лавка,0.58
746,давка,0.577
2918,самба,0.577
1232,камса,0.577
1909,мотка,0.576
1358,ковка,0.576
2900,садок,0.576
1388,колок,0.576
1432,корча,0.575
2600,порча,0.575
200,башка,0.574
1099,золка,0.574
3926,шапка,0.574
1564,лазка,0.573
3701,хамка,0.573
3329,тачка,0.573
1623,лерка,0.572
3330,ташка,0.571
3912,шавка,0.57
171,барак,0.57
1583,ларек,0.569
504,волна,0.569
1758,майка,0.569
1261,касса,0.569
3592,фаска,0.569
3156,сошка,0.568
1250,карат,0.568
241,бирка,0.568
941,жарок,0.568
3755,холка,0.568
2906,саква,0.568
350,бурка,0.567
